Institute_name,Region_type,Institute_address,District,Pincode,Web_address,Email_address,Principal_name,Office_contact,personal_contact,Registrar_name,Autonomy_status
"C U Shah College of Pharmacy for Women, Mumbai",Urban,"Sir Vithaldas Vidyavihar,(SNDT Women Uni)Juhu Road, Santacruz(w) Mumbai",Mumbai Suburban,400049,sndt.ac.in,cuscp@yahoo.co.in,Dr. Mrs. Pratima A. Tatke,26608462 Ext.- 2358,26609577 Ext.- ,Mr. Sharad Namdeo Dangle,Non-Autonomous
"B.K. Patil Institute of Pharmacy, Taloja, Panvel",Rural,"Shiv Mandir, Taloja, Taluka Panvel Dist.Raigad",Raigad,410208,www.bkpiop.com,kghpss.2019@gmail.com,Mrs.Iniya Madhan kumaar,0222742464 Ext.- ,9987118533 Ext.- ,VIJAY DNYANOBA KAKEKAR,Non-Autonomous
"Government Polytechnic, Thane",Urban,"At Phadke Pada, Opp. Bharat Gears,Mumbra Shil Road,Opp Bharat  Ltd. Thane , 400612",Thane,400612,www.gpthane.org.in,principal.gpthane@dtemaharashtra.gov.in,DR.NITIKET NIJANAND MHALA,9969601972 Ext.- ,9284720100 Ext.- ,AARTI MILIND PANCHMUKH,Non-Autonomous
"Government Institute of Printing Technology, Mumbai",Urban,"J.J School Of Architecture Compound, Near Cst Station, Mumbai 400001",Mumbai City,400001,www.gipt.ac.in,gipt_m@rediffmail.com,MRS. M.S.DESHPANDE,20821474 Ext.- , Ext.- ,Mrs. Maya Waghmare,Autonomous
"Shri. Pandit Baburao Chaughule College Of Pharmacy, Rahanal ",Urban,"At/Po. Rahanal, Anjur Phata, Jakat Naka, Bhiwandi",Thane,421302,www.saisevaspmbhiwandi.in,spbc.pharmacy@gmail.com,SHRI INDRAPAL BABURAO CHAUGHULE, Ext.- , Ext.- ,Dr. Vinayak Dahiwale,Non-Autonomous
"Abhinav Institute Of Pharmacy, Chinchpada",Urban,"4/3 B Chinchpada,, Taluka Ambernath, District Thane
",Thane,421306,www.abhinavpharmacy.in,abhinavinstituteofpharmacy@gmail.com,ANURADHA BHUSHANKUMAR SAKHARE,2250455 Ext.- 0251,9850442188 Ext.- ,S.K. TRIPATHI,Non-Autonomous
"Indala School of Architechture, Bapsai Tal.Kalyan",Rural,"Near Hp Gagangiri Petrol Pump, Kalyan-Murbad Road, Bapsai, Kalyan  421301
",Thane,421103,www.isoa.ac.in,isoakalyan1@gmail.com,DR. SHASHANK NINAWE, Ext.- , Ext.- ,Prof. ATUL NARKHEDE,Non-Autonomous
"Indala College Of Engineering, Bapsai Tal.Kalyan",Urban,"Near Hp Gagangiri Petrol Pump, Kalyan-Murbad Road, Bapsai, Taluka Kalyan, Dist Thane ",Thane,421103,icoe.ac.in,icoekalyan1@gmail.com,Dr. C.M. CHOUDHARI,2973456 Ext.- , Ext.- ,Prof. ATUL ZOPE,Non-Autonomous
"Siddhis Institute Of Pharmacy, Nandgaon",Rural,"At.Post Nandgaon Tal. Murbad Dist  Thane
",Thane,421401,bdsp.org.in,principal.siddhi@gmail.com,Pachpute T S,8408035769 Ext.- ,7666548761 Ext.- ,Santosh Deshmukh,Non-Autonomous
"Rachna Sansad Academy Of Architecture,Mumbai",Urban,"278, Shankar Ghanekar Marg, Behind Ravindra Natya Mandir, Prabhadevi,Mumbai",Mumbai City,400025,www.aoamumbai.in,contact@aoamumbai.in,Shri Suresh M. Singh,24301024 Ext.- 205,24381749 Ext.- ,Suhas Pathak,Non-Autonomous
"Vijayrao Naik College Of  Pharmacy, Shirval",Rural,"A/P Shirval, Tal-Kankavli, Dist. Sindhudurg
",Sindhudurg,416620,ykskankavali.co.in,vncop19@gmail.com,Dr. Supriya R. Hyam, Ext.- , Ext.- ,Mr. Mandar Trimbak Sawant,Non-Autonomous
"Sasmiras Business School, Worli, Mumbai",Urban,"Sasmira Marg Worli Mumbai - 400030 , Mumbai, Mumbai City , Maharashtra 400030",Mumbai City,400030,www.sbs.sasmira.org,sbs@sasmira.org,Dr. Sanskruti Kadam,24935351 Ext.- 231, Ext.- ,Sambhaji Kumbhar,Non-Autonomous
"S.K. Education Trust's Dr. Manoj A. Shete College of Architecture,  Kasara",Rural,"At post Kasara, Taluka  Shahapur, Dist.Thane",Thane,400605,"202,GOPINATH TOWER PARSIKNAGAR",manojpchavan@gmail.com,Dr. Manojkumar Chavan,8108000534 Ext.- , Ext.- ,yogeshwari hardas,Non-Autonomous
"Vivekanand Education Society's  College of Architecture, Chembur, Mumbai",Urban,"Hashu Advani Memorial Complex, Behind Collector Colony, R.C. Marg, Chembur, Mumbai",Mumbai Suburban,400071,,,Shri Anand Achari , Ext.- , Ext.- ,MRS.ROSHNI MORE,Non-Autonomous
"Vasantdada Patil Pratishthan's Manohar Phalke College of Architecture, Sion-Chunabhatti, Mumbai",Urban,"Vasantdada Patil Educational Complex, Eastern Express Highway, Sion-Chunabhatti, Mumbai.",Mumbai City,400022,www.mpcoa.in,sheetalckamble@gmail.com,Ar. Surendra C. Rane,20847227 Ext.- ,20847227 Ext.- ,SHEETAL CHANDRAKANT KAMBLE,Non-Autonomous
"Raigad College Of Pharmacy, Mohopre",Rural,"Mohopre, Tal. Mahad, Dist. Raigad
",Raigad,402301,www.raigadcopmohopre.com,raigadcop@gmail.com,MR. TANGADE AMOL RAMCHANDRA,8956972859 Ext.- ,9970166872 Ext.- ,ARUN UTTAMRAO DEVRE,Non-Autonomous
"Smt. Jayshree Sharadchandra Kothari Business School, Dadar, Mumbai",Urban,"DES Mumbai Campus, Kirti College Road, Veer Savarkar Marg, Mumbai",Mumbai City,400028,www.jskbschool.org,office.jskbs@despune.org,Dr. Rasika Mallya,62764554 Ext.- ,62764551 Ext.- ,Shridhar Chougule,Non-Autonomous
"Shri Angarsiddha Shikshan Prasarak Mandal's ASPM College of Pharmacy, Sangulwadi",Rural,"At Post Sangulwadi, Tal Vaibhavwadi, Dist. Sindhudurg",Sindhudurg,416810,www.aspmocop.org,aspmpharmacy@gmail.com,Sudhakar Yeole,237270 Ext.- 02367,237270 Ext.- 02367,Sandeep Patil,Non-Autonomous
"SBNM College of Pharmacy(D.Pharmacy), Mahad",Rural,"Gut No.311 & 313, Achloli, Mahad, Raigad",Raigad,402305,,sbnm.cop@gmail.com,Mr. Kamble Subodh Vishnukant,9970166872 Ext.- ,8600494586 Ext.- ,Mr. Kamble Subodh Vishnukant,Non-Autonomous
"Yashwantrao Bhonsale College of D. Pharmacy, Charathe Vazarwadi",Urban,"Building NO.4, A/P Charathe Vazarwadi, Taluka Sawantwadi, Dist Sindhudurg",Sindhudurg,416510,www.ybdpharmacy.com,ybdpharmacy@gmail.com,Mr. Tushar G. Rukari,272251 Ext.- , Ext.- ,Prasad K. Mahale,Non-Autonomous
"Government Polytechnic, Nashik",Urban,"New Bldg Campus,Samangaon Road Nashik , 422101",Nashik,422101,www.gpnashik.ac.in,office.gpnashik@dtemaharashtra.gov.in,Dnyandeo Pundlikrao Nathe,2461221 Ext.- ,2450236 Ext.- ,Meghraj Tukaram Gangurde,Autonomous
"C.H.M.E. Society's Dr. Moonje Institute for Management & Computer Studies, Nashik",Urban," B.M. College Campus,Rambhoomi, Gangapur Road,Savarkar Nagar, Nashik  422005",Nashik,422005,www.moonjeinstitute.com,moonje_institute@rediffmail.com,Dr. Preeti Kulkarni,2342840 Ext.- ,2309617 Ext.- ,Mr. Ramesh Thakare,Non-Autonomous
"Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik",Rural,"Anjaneri Village, Trimbakeshwar, Dist.Nashik 422103",Nashik,422103,www.brahmavalley.com,princi.bvcoe@gmail.com,Prof. C.K. Patil,220202 Ext.- 02594,2464691 Ext.- 0253,Mr. Pagar Samadhan S.,Non-Autonomous
"Sarvodaya Shikshan Mandal's Sau Leena Kishor Mamidvar Institute  of Management Studies & Research, Chandrapur",Urban,"Opp Sharma Petrol Pump,Kosara Road  Chandrapur  ",Chandrapur,442406,www.imsr.org.in,dmsr_sp@rediffmail.com,DR. J. N. Chakravorty,230155 Ext.- ,230155 Ext.- ,Umakant Dhande,Non-Autonomous
"M.S. College Of Pharmacy, Devghar",Urban,"Sy. No. 120, Devghar,  Taluka : Wada Dist: Palghar, Thane
",Palghar,421312,www.mscollegeofpharmacy.com,mscollegeofpharmacy2019@gmail.com,MR. LOKESH VYAS, Ext.- , Ext.- ,MR. SAMEER KHAN,Non-Autonomous
"Anjuman Hami-E-Islam's Anjuman Polytechnic, Nagpur",Urban,"Mangalwari Bazar,Sadar Nagpur , 440001",Nagpur,440001,anjumanpolytechnic.in,anjumanpolysadar@yahoo.co.in,Mr. MOHAMMAD RAFIULLAH,2533533 Ext.- ,2533533 Ext.- 0712,SYED NAZIRUDDIN,Non-Autonomous
"VP College of Pharmacy, Madkhol, Sawantwadi",Rural,"Gut No.286, At Post Madkhol, Taluka Sawantwadi, Dist Sindhudurg",Sindhudurg,416510,www.vpcpm.org,vpcpm2017@gmail.com,Dr. Sunil Shingade,246670 Ext.- ,246770 Ext.- ,Mr Pankaj Patil,Non-Autonomous
"Abhinav Bahuuddeshiya's Siddhivinayak College Of Pharmacy, Warora, Dist. Chandrapur",Urban,"Chimur Road,Near Parsoda,Post. Chinora Th.Warpra Dist.Chandrapur 442907",Chandrapur,442907,www.siddhivinayakpharmacycollege.org,siddhivinayak_warora@rediffmail.com,Mr. PRAVIN .K. Bhoyar,202502 Ext.- 07176,90969055 Ext.- ,PAVIN BHOYA,Non-Autonomous
"Bhausaheb Mulak Charitable Trust 'S Bhausaheb Mulak College Of D. Pharmacy, Umred, Nagpur",Rural,"Umred - Bhivpuri Road, Krishi Utpanna Bazaar Samiti, Umrer Dist-Nagpur 441203",Nagpur,441203,www.bmcdp.org.in,bmcdp@yahoo.co.in,Shri. Anand J. Purohit,244600 Ext.- 07116, Ext.- ,Swati S. Kharwade,Non-Autonomous
"Gondia College Of Pharmacy, Chulod",Rural,"At Chulod  Po.  Datora Ta. Gondia  Distt. Gondia  (M.S.) 441601
",Gondia,441601,www.gcoph.in,softindia.bharat1@gmail.com,DR. BHUMESHKUMAR EKNATH WANJARI, Ext.- , Ext.- ,MR. SANJAY DUBEY,Non-Autonomous
"Shri Sai College Of Pharmacy, Mouda",Rural,"Mouja- Mouda, Old Bhandara Road, Mouda, Taluka Mouda. District Nagpur
",Nagpur,441104,www.shrisaicop.org,srgvsscop@gmail.com,GORAKSHNATH V. POUNIKAR,9923264183 Ext.- ,9923264183 Ext.- ,ASHSIH DAHIKAR,Non-Autonomous
"Dr Arun Motghare College Of Pharmacy, Pauni",Rural,"Kh No 442,443,445,441/1/2,444,446/3a,4463b Mauza Kosra Tah Pauni Dist Bhandara
",Bhandara,441908,www.drmotgharedpharma.org,drarunmotgharecollege@gmail.com,Dr. Arun L. Motghare,253906 Ext.- 07185,253906 Ext.- 07185,Mr. Vijay Chaudhari,Non-Autonomous
"School of Environment and Architecture, Borivali",Urban,"Eksar Road, Borivali(west), Mumbai.",Mumbai Suburban,400091,www.sea.edu.in,contact@sea.edu.in,Ravindra Punde, Ext.- , Ext.- ,Dipti Bhaindarkar,Non-Autonomous
"Nagpur College Of Pharmacy, Hingana",Urban,"Kh. No. 245, Mouza-Wanadongri, Tahsil-Hingana, District- Nagpur
",Nagpur,441110,www.ncpngp.com,principalncpngp@gmail.com,RAVI PREM KALSAIT,0 Ext.- 0,0 Ext.- 0,RAVI PREM KALSAIT,Non-Autonomous
"Dr.Arun Motghare Diploma in Pharmacy, Kosara, Konda",Urban,"B Mouza Kosara, Kosara Konda Taluka Pauni, Dist. Bhandara",Bhandara,441908,www.drmotgharedpharma.org,drarunmotgharecollege@gmail.com,Mahendra Lende,253906 Ext.- 07185,253906 Ext.- 07185,Vijay Chaudhari,Non-Autonomous
"ANJANYA POLYTECHNIC COLLEGE, Tumsar",Rural,AT Post khairlanji (Shora Road ) Tq Tumsar Dist Bhandara,Bhandara,441915,www.anjaneyapoly.com,ashish.kachare@gmail.com,Prashant Umre,233630 Ext.- ,233630 Ext.- ,Prashant Umre,Non-Autonomous
"Dr R G Bhoyar Institute Of Pharmacy, Seloo, Dist Wardha",Rural,"Nagpur- Wardha Road, Seloo, Dist Wardha
",Wardha,442104,www.rgbipseloo.rgbgi.org,rgbip.seloo@gmail.com,Hemant A. Sawarkar,297992 Ext.- ,297992 Ext.- ,Amol Gaikwad,Non-Autonomous
"Central India College of Pharmacy(D.Pharm), Nagpur ",Urban,"Mauza Lonara, Nagpur 441123",Nagpur,441123,,centralindia2003@gmail.com,MRS. SWATI BODHANKAR, Ext.- , Ext.- ,Ms. Shubhangi Lahurgade,Non-Autonomous
"P.R.Patil Institute of Pharmacy, Talegaon(SP),Wardha ",Rural,"Arvi Road, Talgaon (SP), Taluka Ashti Dist. Wardha",Wardha,442202,prpdpharm.org,prppharma@gmail.com,Dr. Laxmikant Barde,236000 Ext.- , Ext.- ,Chandrakant W. Gede,Non-Autonomous
"Ankush Shikshan Sanstha's G.H. Raisoni Institute of Life Sciences, Nagpur",Urban,"CRPF,  Gate No.3, Dingdoh Hills, Hingana Road, Nagpur 440016",Nagpur,440016,www.ghrils.raisoni.net,ghrils@yahoo.co.in,Mrs. Pratima S. Tayde , Ext.- , Ext.- ,,Non-Autonomous
"Bajaj Institute of Technology, Wardha",Rural,"Arvi Road, in Front of Ramkrishna Bajaj Agriculture College, Pipri, Wardha ",Wardha,442001,www.bit.shikshamandal.org,shikshamandal@gmail.com,Dr. Narendra Kanhe,255770 Ext.- ,9823382851 Ext.- ,Mr. Parag Kombe,Non-Autonomous
"NEW MONTFORT INSTITUTE OF PHARMACY, ASHTI",Urban,"PETH AHMADPUR, ASHTI, TALUKA-ASHTI Dist. Wardha	",Wardha,442202,,,Mr.Mohsin Khan (mobile:7588887680), Ext.- , Ext.- ,SHAMIM KHAN(mobile:8788457316) ,Non-Autonomous
"R.V. Parankar College of Engineering & Technology, Arvi, Dist Wardha",Urban,"Survey No. 11611, Mauza - Sarangpuri, Talao Road, Darankikar Wadi, Taluka Arvi, Dist Wardha.",Wardha,442201,,raviparnkar@gmail.com,P.S. Srinivasan, Ext.- , Ext.- ,,Non-Autonomous
"Jhulelal Institute of Architecture, Nagpur",Rural,"KH No. 68 & 72, Off koradi Road, Lonara, Nagpur",Nagpur,441111,www.jia.org.in,jia.ssct@gmail.com,PROF. RAVI NAFDE,2668233 Ext.- , Ext.- ,MR. SUMEET CHANDEGAVE,Non-Autonomous
"Mouda College of Pharmacy, Mauda Nagpur",Rural,"Mouda Bus Stand road, Kumbhari Pandhan, Mouda, Dist Nagpur",Nagpur,441104,,,Mr. G. V. Paunikar , Ext.- , Ext.- ,Mr. Ashish Dahikar ,Non-Autonomous
"Shri.Datta Meghe College of Architecture, Nagpur",Urban,"Wanadongari, Hingna Road, Nagpur",Nagpur,441110,www.sdmca.edu.in,principal.sdmca@gmail.com,Dr. Sheeba Valson, Ext.- , Ext.- ,Purva Mange,Non-Autonomous
"Maharashtra College of Engineering, Betada, Brahmapuri",Rural,"Choughan Phata, Armori Road, (Betada), Tal.Bramhapuri, Dist.Chandrapur.",Chandrapur,441206,www.yees.edu.cin,parag.pise1999@gmail.com,Dr. Vivek R.Bhore, Ext.- , Ext.- ,RAHUL S. HADGE,Non-Autonomous
"Maharashtra Institute of Pharmacy ( B.Pharm ), Betada",Rural,"Chakgan Phata, Armari Road, Betada, Post Kinhi, Chandrapur",Chandrapur,441206,www.mipharma.edu.in,principal4643@gmail.com,Dr.Sachin B.Dudhe, Ext.- , Ext.- ,BHUPESH R. GIRI,Non-Autonomous
"Dr.Babasaheb Ambedkar Institute of D-Pharmacy, Sewagram, Wardha",Rural,"Adarsh Nagar, Sewagram Road, Wardha ",Wardha,422001,www.dbainstituteofpharmacy.com,wankhede.bhagyashri@yahoo.com,Mr. A.R. Deshmukh (Principal),252633 Ext.- 07152,252633 Ext.- 07152,J.D. Bodele,Non-Autonomous
"Renaissance Polytechnic,Chandrapur",Urban,"Datala New Chandrapur,Datala",Chandrapur,442402,www.renaissancepoly.com,1666principal@msbte.com,JEETENDRA SHYAM SONPIPRE,230444 Ext.- ,230444 Ext.- ,Mr. Sunil Rao,Non-Autonomous
"VBSS's, Tulsiramji Gaikwad - Patil College of Architecture, Nagpur.",Rural,"KH. NO.8/1, Mohgaon, Wardha Road, Nagpur",Nagpur,441108,www.tgpca.com,vidarbhabuss@yahoo.co.in,Prof.Vandana Khante,6648252 Ext.- 712,6648252 Ext.- 712,Sandeep P. Palsodkar,Non-Autonomous
"Mula Education Society's Sharda College Of Pharmacy, Vadgaon Gupta",Rural,"Pimpalgaon Malvi Road, Vadgaon Gupta, Ahmednagar  414111",Ahmednagar,414111,,,DARANDALE ABHISHEK SONYABAPU, Ext.- , Ext.- ,SABALE JAGDISH VILAS,Non-Autonomous
"Department of  Management Sciences (PUMBA), University of Pune",Rural,"University of Pune, Ganeshkhind, Pune",Pune,411007,www.pumba.in,,Dr.Surbhi Jain ,25693380 Ext.- 30,25691155 Ext.- ,Devyani Chavan ,Non-Autonomous
"Radhaswami Vividh Karyakari Shaikshanik Sanstha's Adarsh College of Architecture,Khasara,Nagpur",Urban,"At.Post Pipla, Hudkeshwar Road,Khasara No 200/2 Nagpur ",Nagpur,440013,www.adarsh.com,adarsharch27@gmail.com,prof A J Sanyal,6955700 Ext.- , Ext.- ,,Non-Autonomous
"Dadasaheb Balpande College of Diploma in Pharmacy, (DBCDIP) Nagpur",Rural,"Near Swami Samartha Dham Mandir Besa, Nagpur.",Nagpur,440037,www.dbcdp.in,dbcdip.office@gmail.com,Nitin G Dumore,07103281 Ext.- 244,07103281 Ext.- 156,Manoj V. Balpande ,Non-Autonomous
"Kirsan's Mission Institute of Management, Gankhaira,Ta. Goregaon, Dist. Gondia",Rural,GONDIA-GOREGAON ROAD GANKHAIRA TAH. GOREGAON DISTT. GONDIA  441601,Gondia,441801,kmimmba.in,ndkirsan@gmail.com,Dr. N.D. Kirsan,293236 Ext.- ,293236 Ext.- ,Narendrakumar Hansaram Kisane,Non-Autonomous
"Department of Commerce & Management, Shivaji University, Kolhapur",Urban,"Shivaji University, Vidyanagar,  Kolhapur ",Kolhapur,416004,www.unishivaji.ac.in,registrar@unishivaji.ac.in,"Dr.H.M.Thakar,M.Com.,Ph.D.",2609375 Ext.- ,2690938 Ext.- ,Dr. Vilas.D. Nandavadekar,Non-Autonomous
Dr Ithape Institute Of D Pharmacy Sangamner,Rural,"At-Velhale /Post- Rajapur,  Tal-Sangamner,  Dist- Ahmednagar.  422605
",Ahmednagar,422605,www.smfri.org,ithapeinstitute2019@gmail.com,PROF. DIPAK SHANKARRAO SONAWANE,259393 Ext.- 20,9822791484 Ext.- ,MR. SUNIL BANSI MANDE,Non-Autonomous
"Jayawant Shikshan Prasarak Mandal, ENIAC Institute of Computer Application, Wagholi, Pune",Urban,"Gate No 720/(1 & 2), Pune Nagar Road Wagholi, Tal  Haveli Dist. Pune  412207",Pune,412207,www.jspm.edu.in,directoreica@gmail.com,Dr. Sarika Sharma,65101860 Ext.- ,67335105 Ext.- 206,Mithun Thorat,Non-Autonomous
"Shri Swami Samarth Institute Of Pharmacy, Bota",Rural,"Malwadi Post Bota Tal Sangmner Dist Ahmednagar
",Ahmednagar,422602,www.shrissiop.in,shrisamarthcop@gmail.com,Shivaji Murlidhar Pokharkar, Ext.- , Ext.- ,Amit Shivaji Pokharkar,Non-Autonomous
"College Of Engineering, Vairag Tal. Barshi",Rural,"At/p- Sasure- Vairag On Solapur Barshi State HighWay Tal-Barshi Solapur , 413402",Solapur,413402,www.coevairag.org,collegeofengineeringvairag@gmali.com,D.R. Suryawanshi,240700 Ext.- ,240700 Ext.- ,Shinde D.B.,Non-Autonomous
"Indira Global Business School, Parandwadi Tq. Maval Dist. Pune",Rural,"S.No.64,65 Gat No. 276, At Post.Parandwadi, Tehsil Maval, Dist. Pune  410506",Pune,410506,www.indiragbs.edu.in,director@indiragbs.edu.in,Dr. Virendra Tatake,02114661 Ext.- 609,02114666 Ext.- 568,Yogesh Dilip Gheware,Non-Autonomous
"Pravara Medical Trust College Of Pharmacy, Shevgaon",Rural,"Akhegaon Road, Shevgaon Tq. Shevgaon, Dist Ahmednagar -414502 
",Ahmednagar,414502,www.pravarapharmacy.com,pharmacy201920@gmail.com,Dr Yuvraj Madhavrao Narawde,02429 Ext.- , Ext.- ,Gayke Adinath Namdev,Non-Autonomous
"Dr. J.J. Magdum College of Architecture, Jaysingpur",Rural,"Jaysingpur, Sambhajipur, Tal.Shirol, Dist Kolhapur
",Kolhapur,416101,architecture.jjm.edu.in,drjjmcoa@gmail.com,Shri. Rajendra Mahavir Ainapure,224893 Ext.- ,00 Ext.- ,Shri. Pradip Hanumant Kulkarni,Non-Autonomous
"Genesis Institute Of Pharmacy, Sonyachi Shiroli",Rural,"529/30, Near Gaibi Titta, A/P Sonyachi Shiroli Tal. Radhanagari, Kolhapur",Kolhapur,416212,www.genesisradhanagari.in,vakratundedu@gmail.com,MR. SHOBHARAJ BHARAT MALAVI	, Ext.- , Ext.- ,MR. RAHUL KONDIBA SUTAR,Non-Autonomous
"Indira College of Engineering & Management, Pune",Rural,"Survey No.64,65,Gat No.276, At Post Parandwadi, Near Somatne Phata, Tal- Maval Dist. Pune",Pune,410506,www.indiraicem.ac.in,principal@indiraicem.ac.in,Dr.Sunil S. Admuthe,661500 Ext.- 521,661500 Ext.- 666,Mr.Gajanan T. Adke,Non-Autonomous
"Ashokrao Mane Institute Of Pharmacy Ambap, Hatkanangle",Rural,"Ap/ Ambap Tal Hatkanangle Dist Kolhapur
",Kolhapur,416112,www.amipambap.org,amipambap2019@gmail.com,Dr. Chougule Nilesh Balasaheb,0230240774 Ext.- 100,0230247555 Ext.- ,Mr. Amitsinh Balasaheb Ghotane,Non-Autonomous
Shri Ganpati Institute Of D Pharmacy Tembhurni ,Rural,A/P- Akole Kh Tal- Madha Dist- Solapur Maharashtra Pin 413211,Solapur,413211,sgidpharma.com,sgidpharma@gmail.com,Mr. V.D.Chipade, Ext.- , Ext.- ,Dr. R. D. Bendgude,Non-Autonomous
Varvand Gram Shikshan Sansthas Eknath Sitaram Divekar College Of Pharmacy Varvand,Rural,At Post Varvand Tal Daund Pune,Pune,412215,www.esdcop.org,esdcollege@hotmail.com,AMITA BHASKAR DONGARE,0211928356 Ext.- 1,7775040678 Ext.- ,Vijaykumar Eknath Divekar,Non-Autonomous
Mahadev Kanchan College Of Pharmaceutical Education And Research,Rural,"Mahadev Baug, Baif Road, Urulikanchan, Tal-Haveli, Dist-Pune - .412202",Pune,412202,www.mkcoper.in,mkcop2019@gmail.com,Dr Vijaykumar kale,26929191 Ext.- , Ext.- ,Appasaheb Machindra Jagdale,Non-Autonomous
Mandesh Institute Of Pharmaceutical Science And Research Centre Mhaswad,Rural,"Survey No 1124, Late Shri Dhondiba Kodalkar Nagar, Mhaswad- Injhabhav Road, Mhaswad, Satara",Satara,415509,www.mipsr.in,dnyanganga512@gmail.com,Mr. Dada Dhondiba Kodalkar,02370 Ext.- 00000,02373 Ext.- 00000,Mr. Kisan Khilari,Non-Autonomous
"Tatyasaheb Kore College of Architecture, Warnanagar",Rural,"At Post Warana Nagar , Tal- Panhala, Dist . Kolhapur
",Kolhapur,416113,www.tkcoawarana.org,dmpatil@tkietwarana.ac.in,Mrs Reena Mahesh Chavan,224012 Ext.- , Ext.- ,Sanjay Bulle,Non-Autonomous
"Abdul Majeed Central Education Society, Institute of Pharmacy, Lonara",Urban,"Survey No.23/2 A, Mouza Lonara, Tal.& Dist. Nagpur",Nagpur,441111,www.abdulmajeedcentraleducationsociety.com,amcesnagapur@gmail.com,DR. ANUP BARSAGADE,2669528 Ext.- , Ext.- ,Ms. Shubhangi Lahurgade,Non-Autonomous
